geocode_address	above_low	above_high	time	lat	lng
1 GRAY ST, NEWFARM, BRISBANE	0.5	-3.6	29/01/2013 11:00:00 AM	-27.4629586	153.0504032
1 GRIMES ST, AUCHENFLOWER, BRISBANE	0.8	-1.7	29/01/2013 10:40:00 AM	-27.474838	152.997212
1 HEMMANT-TINGALPA RD, HEMMANT, BRISBANE	0.4	-1.7	29/01/2013 11:00:00 AM	-27.445806	153.125445
1 HUXHAM TCE, AUCHENFLOWER, BRISBANE	0.7	-2.2	29/01/2013 10:40:00 AM	-27.471296	152.999768
1 IVY ST, INDOOROOPILLY, BRISBANE	1.8	-19.9	29/01/2013 9:40:00 AM	-27.507327	152.979415
1 JILBA ST, INDOOROOPILLY, BRISBANE	1.3	-4.6	29/01/2013 9:30:00 AM	-27.510356	152.965172
1 JOHNSTONE ST, SHERWOOD, BRISBANE	1.9	0.8	29/01/2013 9:50:00 AM	-27.530312	152.988128
1 JOSEPH ST, SHERWOOD, BRISBANE	3.2	-5.4	29/01/2013 9:25:00 AM	-27.528458	152.973173
1 KARELLA ST, FIGTREEPOCKET, BRISBANE	3.2	-8	29/01/2013 9:25:00 AM	-27.522982	152.962277
1 KING ARTHUR TCE, TENNYSON, BRISBANE	3.7	-7.2	29/01/2013 9:50:00 AM	-27.52393	152.995204
1 KITE ST, PORTOFBRISBANE, BRISBANE	2.1	-5.6	29/01/2013 11:00:00 AM	-27.4052854	153.163767
1 KYNUNA CT, KARANADOWNS, BRISBANE	11.9	-26.7	29/01/2013 6:25:00 PM	-27.548666	152.827508
1 LEURA AVE, HAWTHORNE, BRISBANE	0.4	-0.3	29/01/2013 11:00:00 AM	-27.457883	153.05925
1 LINCOLN ST, GREENSLOPES, BRISBANE	1.6	-5.9	29/01/2013 11:00:00 AM	-27.498469	153.042781
1 MACBARRY PL, ROCKLEA, BRISBANE	0.8	-1.8	29/01/2013 9:50:00 AM	-27.551837	153.003541
1 MARIGOLD ST, HEMMANT, BRISBANE	0.1	-0.2	29/01/2013 11:00:00 AM	-27.447765	153.123894
1 MT OMMANEY DR, JINDALEE, BRISBANE	5.3	-7.3	29/01/2013 8:45:00 AM	-27.528337	152.938619
1 NEWSTEAD TCE, NEWSTEAD, BRISBANE	2.2	-2.6	29/01/2013 11:00:00 AM	-27.4476632	153.0458993
1 ORSOVA ST, PINKENBA, BRISBANE	0.3	-0.1	29/01/2013 11:00:00 AM	-27.4277599	153.1143426
1 OXFORD ST, BULIMBA, BRISBANE	0.8	-2.5	29/01/2013 11:00:00 AM	-27.4505316	153.0529215
1 PARK AVE, AUCHENFLOWER, BRISBANE	1.5	-0.4	29/01/2013 10:35:00 AM	-27.478083	152.994597
1 PARK RD, YERONGA, BRISBANE	0.5	-1	29/01/2013 10:10:00 AM	-27.513837	153.020375
1 RANDLE RD, PINKENBA, BRISBANE	0.8	-1.7	29/01/2013 11:00:00 AM	-27.430193	153.1132959
1 RIVERVIEW CT, NEWFARM, BRISBANE	1.5	-2.9	29/01/2013 11:00:00 AM	-27.472196	153.041672
1 SANDPIPER AVE, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM	-27.3831224	153.17574
1 ST LEONARDS ST, COORPAROO, BRISBANE	2.4	-8.8	29/01/2013 11:00:00 AM	-27.492908	153.051396
1 SYLVAN RD, TOOWONG, BRISBANE	0.7	-4.5	29/01/2013 10:35:00 AM	-27.4825091	152.9964414
1 TATE ST, ALBION, BRISBANE	0.3	-0.2	29/01/2013 11:00:00 AM	-27.434183	153.044639
1 TURNER ST, WINDSOR, BRISBANE	0.1	-0.4	29/01/2013 11:00:00 AM	-27.432453	153.034752
1 WELSBY ST, NEWFARM, BRISBANE	0.2	-0.1	29/01/2013 11:00:00 AM	-27.467865	153.047901
1 WHIMBREL ST, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM	-27.381928	153.1748774
10  ADINA ST, NORMANPARK, BRISBANE	0	-0.1	29/01/2013 11:00:00 AM	-27.4851164	153.0625422
10  CARLOW ST, WESTEND, BRISBANE	0	-3.6	29/01/2013 10:25:00 AM	-27.48984	153.005832
10  HUDSON RD, ALBION, BRISBANE	0.3	-2.3	29/01/2013 11:00:00 AM	-27.432779	153.040192
10  MANNING ST, MILTON, BRISBANE	0.1	-0.2	29/01/2013 10:40:00 AM	-27.469858	153.005824
10  OXFORD TCE, TARINGA, BRISBANE	0	-6.8	29/01/2013 10:30:00 AM	-27.4944741	152.9894463
10 A WYUNA CT, HEMMANT, BRISBANE	2.1	-2.6	29/01/2013 11:00:00 AM	-27.43483	153.132582
10 ADINA ST, NORMANPARK, BRISBANE	0.1	-0.2	29/01/2013 11:00:00 AM	-27.4851164	153.0625422
10 ALBANY ST, WINDSOR, BRISBANE	0.1	-0.5	29/01/2013 11:00:00 AM	-27.435702	153.036447
10 ALBION ST, WOOLLOONGABBA, BRISBANE	0.2	-0.8	29/01/2013 11:00:00 AM	-27.490339	153.041969
10 ALLAWAH ST, YEERONGPILLY, BRISBANE	0.4	-1.1	29/01/2013 9:50:00 AM	-27.530388	153.0104161
10 AUSTIN ST, NEWSTEAD, BRISBANE	0.1	-0.4	29/01/2013 11:00:00 AM	-27.4458409	153.0437633
10 BINGERA DR, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM	-27.37618	153.1830648
10 BOGAN ST, ALBION, BRISBANE	0.5	0.1	29/01/2013 11:00:00 AM	-27.435431	153.044369
10 BURRINGBAR ST, HEMMANT, BRISBANE	0.2	-5	29/01/2013 11:00:00 AM	-27.4543655	153.1250047
10 CAMFORD ST, MILTON, BRISBANE	0.8	0	29/01/2013 10:40:00 AM	-27.472077	153.0009397
10 CANARA ST, NORMANPARK, BRISBANE	0.1	-0.8	29/01/2013 11:00:00 AM	-27.482537	153.059206
10 CARLOW ST, WESTEND, BRISBANE	2	-4.7	29/01/2013 10:25:00 AM	-27.48984	153.005832
10 CARR ST, BULIMBA, BRISBANE	0	-0.3	29/01/2013 11:00:00 AM	-27.456684	153.060922
10 COLLINGWOOD ST, ALBION, BRISBANE	0.3	-0.4	29/01/2013 11:00:00 AM	-27.432819	153.043709
10 CORELLA ST, ROCKLEA, BRISBANE	0.7	0	29/01/2013 9:50:00 AM	-27.548868	153.014408
10 CROSBY RD, ALBION, BRISBANE	0.1	-0.2	29/01/2013 11:00:00 AM	-27.431949	153.043698
10 CULLEN ST, WINDSOR, BRISBANE	0.3	-0.1	29/01/2013 11:00:00 AM	-27.441728	153.028817
10 DOUGLAS ST, SHERWOOD, BRISBANE	2.5	-13.5	29/01/2013 9:20:00 AM	-27.534603	152.97236
10 EAGLE FARM RD, PINKENBA, BRISBANE	0.8	-3.3	29/01/2013 11:00:00 AM	-27.429756	153.113039
10 ELLIOT ST, ALBION, BRISBANE	0.5	0.1	29/01/2013 11:00:00 AM	-27.433901	153.044811
10 EXPORT ST, LYTTON, BRISBANE	0.2	-1.8	29/01/2013 11:00:00 AM	-27.424842	153.154066
10 FOX ST, ALBION, BRISBANE	0.5	0	29/01/2013 11:00:00 AM	-27.433848	153.044894
10 GILLAN ST, NORMANPARK, BRISBANE	2.3	-3.8	29/01/2013 11:00:00 AM	-27.4760152	153.0509127
10 HALDANE ST, GRACEVILLE, BRISBANE	0.2	-0.6	29/01/2013 9:40:00 AM	-27.524411	152.987573
10 HEUSSLER TCE, MILTON, BRISBANE	0.2	-0.4	29/01/2013 10:40:00 AM	-27.4643928	153.0077716
10 HIGGS ST, ALBION, BRISBANE	0.4	-0.4	29/01/2013 11:00:00 AM	-27.440355	153.04512
10 HIRON ST, STLUCIA, BRISBANE	1.3	-4.4	29/01/2013 10:30:00 AM	-27.492707	152.999725
10 HOPE ST, NORMANPARK, BRISBANE	0	-1.3	29/01/2013 11:00:00 AM	-27.482187	153.058971
10 HUDSON RD, ALBION, BRISBANE	0.5	-4.3	29/01/2013 11:00:00 AM	-27.432779	153.040192
10 HUNT ST, HAMILTON, BRISBANE	0.2	-1.2	29/01/2013 11:00:00 AM	-27.440625	153.047544
10 HUTCHESON ST, ALBION, BRISBANE	0.6	0.2	29/01/2013 11:00:00 AM	-27.4400965	153.0445063
10 IMMARNA ST, ALBION, BRISBANE	0.3	-0.8	29/01/2013 11:00:00 AM	-27.435147	153.044308
10 JULIUS ST, NEWFARM, BRISBANE	2.1	-12.5	29/01/2013 11:00:00 AM	-27.467973	153.040665
10 KYNUNA CT, KARANADOWNS, BRISBANE	11.8	-20	29/01/2013 6:15:00 PM	-27.547443	152.828533
10 LEURA TCE, HAWTHORNE, BRISBANE	0.1	-3.2	29/01/2013 11:00:00 AM	-27.4577742	153.0539845
10 MANNING ST, MILTON, BRISBANE	0.2	-0.5	29/01/2013 10:40:00 AM	-27.469858	153.005824
10 MARIE ST, BALMORAL, BRISBANE	0.3	-0.3	29/01/2013 11:00:00 AM	-27.4566226	153.0619467
10 MCDONALD RD, WINDSOR, BRISBANE	0.2	-0.7	29/01/2013 11:00:00 AM	-27.434458	153.0368
10 META PL, FIGTREEPOCKET, BRISBANE	0.8	-6.3	29/01/2013 9:25:00 AM	-27.522484	152.96044
10 MILTON ST, NORMANPARK, BRISBANE	2.4	0.2	29/01/2013 11:00:00 AM	-27.479368	153.057309
10 MORETON ST, NORMANPARK, BRISBANE	0.1	-6.5	29/01/2013 11:00:00 AM	-27.4769398	153.056857
10 NAVER ST, MIDDLEPARK, BRISBANE	1.1	-11.7	29/01/2013 8:00:00 AM	-27.554322	152.928172
10 NEILL ST, PINKENBA, BRISBANE	0.6	-1.1	29/01/2013 11:00:00 AM	-27.423931	153.117959
10 NINGANA ST, FIGTREEPOCKET, BRISBANE	3.8	-1.9	29/01/2013 9:25:00 AM	-27.523419	152.967059
10 NORTHEY ST, WINDSOR, BRISBANE	0.5	-0.4	29/01/2013 11:00:00 AM	-27.442664	153.0295101
10 OSPREY DR, PORTOFBRISBANE, BRISBANE	2.1	-5.6	29/01/2013 11:00:00 AM	-27.4102346	153.1634638
10 OXFORD TCE, TARINGA, BRISBANE	0.2	-7	29/01/2013 10:30:00 AM	-27.4944741	152.9894463
10 PETAL ST, HEMMANT, BRISBANE	0.7	-1	29/01/2013 11:00:00 AM	-27.4456583	153.120183
10 RAMSAY RD, HEMMANT, BRISBANE	0.3	0	29/01/2013 11:00:00 AM	-27.446227	153.125323
10 RIVERBEND PL, BULIMBA, BRISBANE	0.2	-1.2	29/01/2013 11:00:00 AM	-27.454614	153.055862
10 ROEDEAN ST, FIGTREEPOCKET, BRISBANE	4.4	-20.2	29/01/2013 9:30:00 AM	-27.5152773	152.9652219
10 ROSS ST, NEWSTEAD, BRISBANE	0.2	-0.2	29/01/2013 11:00:00 AM	-27.443929	153.0420579
10 SCOTT ST, HAWTHORNE, BRISBANE	0.2	-2.6	29/01/2013 11:00:00 AM	-27.462041	153.054229
10 SHOEBURY ST, ROCKLEA, BRISBANE	0.7	-0.3	29/01/2013 9:50:00 AM	-27.54352	153.007151
10 SUNSET RD, KENMORE, BRISBANE	4.9	-51.4	29/01/2013 8:45:00 AM	-27.5231342	152.9416916
10 SYDNEY ST, FAIRFIELD, BRISBANE	0.1	-3.8	29/01/2013 10:15:00 AM	-27.508422	153.022971
10 TWIGG ST, INDOOROOPILLY, BRISBANE	2.1	-6	29/01/2013 9:35:00 AM	-27.506097	152.969575
10 VINCENT ST, AUCHENFLOWER, BRISBANE	1.1	-0.2	29/01/2013 10:40:00 AM	-27.47007	152.998536
10 WATERLOO ST, NEWSTEAD, BRISBANE	0.8	0	29/01/2013 11:00:00 AM	-27.448324	153.043552
10 WENDELL ST, NORMANPARK, BRISBANE	2.5	-3.5	29/01/2013 11:00:00 AM	-27.4724084	153.0567704
10 WITTONGA CT, KARANADOWNS, BRISBANE	12.2	-17.6	29/01/2013 5:10:00 PM	-27.545213	152.835359
10 WYNNUM RD, NORMANPARK, BRISBANE	1.3	-4.1	29/01/2013 11:00:00 AM	-27.475904	153.050815
10 WYUNA CT, HEMMANT, BRISBANE	0.1	-0.9	29/01/2013 11:00:00 AM	-27.43483	153.132582
100 A NORTH QUAY, BRISBANECITY, BRISBANE	3.3	-11.5	29/01/2013 10:45:00 AM	-27.4688915	153.0191891
100 ALBION RD, WINDSOR, BRISBANE	0.1	-1.1	29/01/2013 11:00:00 AM	-27.429587	153.036907
100 BOUNDARY RD, OXLEY, BRISBANE	0.1	-9.6	29/01/2013 9:50:00 AM	-27.571209	152.982739
100 BOWEN ST, WINDSOR, BRISBANE	0.2	0	29/01/2013 11:00:00 AM	-27.433878	153.037527
100 GRAFTON ST, WINDSOR, BRISBANE	0.1	-0.5	29/01/2013 11:00:00 AM	-27.43271	153.037845
100 LAYFIELD RD, ANSTEAD, BRISBANE	1.3	-7.7	29/01/2013 7:15:00 AM	-27.546157	152.885676
100 LUTWYCHE RD, WINDSOR, BRISBANE	0.1	-2.3	29/01/2013 11:00:00 AM	-27.4424087	153.0301321
100 MACQUARIE ST, STLUCIA, BRISBANE	1.3	-3.4	29/01/2013 10:25:00 AM	-27.492676	153.005303
100 MAIN BEACH RD, PINKENBA, BRISBANE	0.4	-2	29/01/2013 11:00:00 AM	-27.3869723	153.141024
100 ROSEBERY TCE, CHELMER, BRISBANE	0.4	-6.5	29/01/2013 9:40:00 AM	-27.5106261	152.9784944
100 RYAN ST, WESTEND, BRISBANE	0.4	-1.2	29/01/2013 10:25:00 AM	-27.488872	153.005232
100 SKYLINE DR, KHOLO, BRISBANE	6.8	-14.2	30/01/2013 2:30:00 AM	-27.528187	152.749149
100 SYDNEY ST, NEWFARM, BRISBANE	0.3	-0.5	29/01/2013 11:00:00 AM	-27.468566	153.0477
101 A KINGSFORD SMITH DR, HAMILTON, BRISBANE	2.2	-1.4	29/01/2013 11:00:00 AM	-27.441255	153.048735
101 AITCHESON ST, MOGGILL, BRISBANE	1.8	-12.1	29/01/2013 3:10:00 AM	-27.585486	152.856504
101 BARTON RD, HAWTHORNE, BRISBANE	0.5	-0.7	29/01/2013 11:00:00 AM	-27.458465	153.058105
101 BRISBANE CSO, FAIRFIELD, BRISBANE	2.5	-2.4	29/01/2013 10:15:00 AM	-27.4710107	153.0234489
101 CANBERRA ST, HEMMANT, BRISBANE	0	-0.6	29/01/2013 11:00:00 AM	-27.4446486	153.1312277
101 COLLEGE RD, KARANADOWNS, BRISBANE	0.7	-24.6	29/01/2013 6:55:00 PM	-27.547994	152.819971
101 EAGLE FARM RD, PINKENBA, BRISBANE	1.5	-12.4	29/01/2013 11:00:00 AM	-27.42493	153.118362
101 GRAFTON ST, WINDSOR, BRISBANE	0.1	-0.4	29/01/2013 11:00:00 AM	-27.433361	153.037735
101 KING ARTHUR TCE, TENNYSON, BRISBANE	3.9	-7.4	29/01/2013 9:50:00 AM	-27.524077	153.001513
101 LATHER RD, BELLBOWRIE, BRISBANE	6	-15.6	29/01/2013 7:05:00 AM	-27.556137	152.902591
101 LAYFIELD RD, ANSTEAD, BRISBANE	1.9	-11.7	29/01/2013 7:15:00 AM	-27.546705	152.885672
101 LEYBOURNE ST, CHELMER, BRISBANE	0.2	-2.7	29/01/2013 9:40:00 AM	-27.516418	152.982525
101 LINKS AVE, HAMILTON, BRISBANE	0.4	-1.6	29/01/2013 11:00:00 AM	-27.4380668	153.0867625
101 MCBRIDE RD, PINKENBA, BRISBANE	0.6	-0.7	29/01/2013 11:00:00 AM	-27.419095	153.119678
101 MERTHYR RD, NEWFARM, BRISBANE	0.5	-1.1	29/01/2013 11:00:00 AM	-27.466601	153.047839
101 MUNRO ST, STLUCIA, BRISBANE	1.1	-1.5	29/01/2013 10:25:00 AM	-27.4721185	152.9897447
101 PRATTEN ST, CORINDA, BRISBANE	2.6	-4.7	29/01/2013 9:50:00 AM	-27.548898	152.984699
101 PRESTON RD, CARINA, BRISBANE	2	-1.4	29/01/2013 11:00:00 AM	-27.487021	153.1161404
101 RYAN ST, WESTEND, BRISBANE	1.8	-6.3	29/01/2013 10:25:00 AM	-27.4892775	153.0060489
101 WELSBY ST, NEWFARM, BRISBANE	0.1	-3.5	29/01/2013 11:00:00 AM	-27.463961	153.051227
1019 ANN ST, NEWSTEAD, BRISBANE	3.7	-0.5	29/01/2013 11:00:00 AM	-27.4519964	153.0408537
102 ALBION RD, WINDSOR, BRISBANE	0.2	-1.2	29/01/2013 11:00:00 AM	-27.4293666	153.0368588
102 BURRENDAH RD, JINDALEE, BRISBANE	0.1	-3.3	29/01/2013 8:45:00 AM	-27.530348	152.93659
102 GRAFTON ST, WINDSOR, BRISBANE	0.4	-0.3	29/01/2013 11:00:00 AM	-27.432724	153.037945
102 LINDUM RD, LYTTON, BRISBANE	0.4	-1.1	29/01/2013 11:00:00 AM	-27.439929	153.14027
102 MCBRIDE RD, PINKENBA, BRISBANE	0.8	-0.8	29/01/2013 11:00:00 AM	-27.419625	153.118235
102 QUAY ST, BULIMBA, BRISBANE	0.7	-2.1	29/01/2013 11:00:00 AM	-27.446001	153.051441
102 RIVERSIDE PL, MORNINGSIDE, BRISBANE	2.2	-0.6	29/01/2013 11:00:00 AM	-27.449741	153.079585
102 RYAN ST, WESTEND, BRISBANE	0.3	-1.4	29/01/2013 10:25:00 AM	-27.488887	153.005333
102 SHERBROOKE RD, WILLAWONG, BRISBANE	0.2	-7.2	29/01/2013 9:50:00 AM	-27.590561	153.007241
102 SUNSET RD, KENMORE, BRISBANE	4.4	-34.2	29/01/2013 8:45:00 AM	-27.526302	152.937784
102 VICTORIA ST, FAIRFIELD, BRISBANE	1.1	-1.8	29/01/2013 10:15:00 AM	-27.507656	153.023085
102 VIRGINIA AVE, HAWTHORNE, BRISBANE	0.8	-13.5	29/01/2013 11:00:00 AM	-27.465506	153.05615
1021 ANN ST, FORTITUDEVALLEY, BRISBANE	3.7	-0.7	29/01/2013 11:00:00 AM	-27.4518532	153.0408907
1023 ANN ST, FORTITUDEVALLEY, BRISBANE	0.3	-0.8	29/01/2013 11:00:00 AM	-27.4518742	153.0409838
1025 STANLEY ST, EASTBRISBANE, BRISBANE	0.2	-0.5	29/01/2013 11:00:00 AM	-27.488086	153.050327
1027 STANLEY ST, EASTBRISBANE, BRISBANE	0.5	-0.6	29/01/2013 11:00:00 AM	-27.4879117	153.0504559
1029 STANLEY ST, EASTBRISBANE, BRISBANE	2.2	-0.5	29/01/2013 11:00:00 AM	-27.488252	153.050609
103 BANCROFT RD, PINKENBA, BRISBANE	0.6	-1.4	29/01/2013 11:00:00 AM	-27.395101	153.135254
103 CASTLEMAINE ST, MILTON, BRISBANE	1.1	0.4	29/01/2013 10:40:00 AM	-27.466779	153.008307
103 CROSBY RD, ALBION, BRISBANE	0.8	-14.9	29/01/2013 11:00:00 AM	-27.434328	153.047481
103 MARSHALL RD, ROCKLEA, BRISBANE	1.8	-5.9	29/01/2013 9:50:00 AM	-27.55292	153.014973
103 MARY ST, BRISBANECITY, BRISBANE	7.3	-1.4	29/01/2013 10:55:00 AM	-27.472099	153.028461
103 MERCURY ST, MOGGILL, BRISBANE	9.4	-5.7	29/01/2013 4:00:00 AM	-27.579823	152.869869
103 MERTHYR RD, NEWFARM, BRISBANE	0.4	-1.2	29/01/2013 11:00:00 AM	-27.466533	153.047906
103 MUNRO ST, STLUCIA, BRISBANE	1.2	-1.4	29/01/2013 10:25:00 AM	-27.49661	153.005287
103 WENDOUREE CRES, WESTLAKE, BRISBANE	5.7	-5.7	29/01/2013 7:40:00 AM	-27.545321	152.904858
1031 BRUNSWICK ST, NEWFARM, BRISBANE	1	-2.6	29/01/2013 11:00:00 AM	-27.47177	153.051612
1033 ANN ST, FORTITUDEVALLEY, BRISBANE	0.2	-0.7	29/01/2013 11:00:00 AM	-27.4516808	153.0409375
1033 BRUNSWICK ST, NEWFARM, BRISBANE	0.9	-2.4	29/01/2013 11:00:00 AM	-27.471758	153.051704
1035 ANN ST, FORTITUDEVALLEY, BRISBANE	0.5	-0.3	29/01/2013 11:00:00 AM	-27.4515408	153.0409785
104  SYDNEY ST, NEWFARM, BRISBANE	0.1	-0.1	29/01/2013 11:00:00 AM	-27.467797	153.048002
104 BOUNDARY ST, TINGALPA, BRISBANE	0.1	-1.9	29/01/2013 11:00:00 AM	-27.469658	153.120363
104 DESHON ST, WOOLLOONGABBA, BRISBANE	0.1	-1.2	29/01/2013 11:00:00 AM	-27.4927937	153.047011
104 GRAFTON ST, WINDSOR, BRISBANE	0.4	-0.1	29/01/2013 11:00:00 AM	-27.432738	153.038046
104 LATHER RD, BELLBOWRIE, BRISBANE	4.9	-12.8	29/01/2013 7:15:00 AM	-27.5552	152.900808
104 MAIN BEACH RD, PINKENBA, BRISBANE	0.5	-4.3	29/01/2013 11:00:00 AM	-27.3856924	153.1415718
104 MURIEL AVE, MOOROOKA, BRISBANE	0.5	-3.6	29/01/2013 9:50:00 AM	-27.542664	153.014334
104 QUAY ST, BULIMBA, BRISBANE	2	-2.1	29/01/2013 11:00:00 AM	-27.4458007	153.0516267
104 RAGNOR RD, HEMMANT, BRISBANE	0.8	0	29/01/2013 11:00:00 AM	-27.449481	153.134174
104 ROME ST, YERONGA, BRISBANE	1.8	-12.5	29/01/2013 10:00:00 AM	-27.515676	153.010232
104 RYAN ST, WESTEND, BRISBANE	0	-1.3	29/01/2013 10:25:00 AM	-27.488902	153.005433
104 SKYLINE DR, KHOLO, BRISBANE	6.3	-12.6	30/01/2013 2:30:00 AM	-27.527636	152.749437
104 SOMERSET ST, WINDSOR, BRISBANE	0.2	-0.6	29/01/2013 11:00:00 AM	-27.434891	153.037473
